 energy   cTheta  phi     prob_b  spheri  pt2rel  multip  bqvjet  ptlrel  nnbjet isb
 46.1097  0.6556 -2.4268  0.0485  0.6877  0.0204  0.3923  0.0766 -0.0003  0.3148 0 
 39.3378 -0.6495  0.7484  0.0148  0.2711  0.1222  0.3638  0.0751 -0.0003  0.1946 0 
 47.8340  0.4645 -2.7116  0.0094  0.3355  0.0280  0.1727  0.0005 -0.0003  0.1469 0 
 46.3935 -0.4634  0.4308  0.0122  0.5551  0.0053  0.1306  0.0012 -0.0003  0.1215 0 
 49.0394 -0.7730 -0.5048  0.0504  0.3387  0.0896  0.3432  0.0474 -0.0003  0.3317 1 
 43.1342  0.7692  2.6316  0.1020  0.3206  0.0249  0.3549  0.0302 -0.0003  0.3709 1 
 53.2265  0.6820 -1.7811  0.3127  0.7157  0.0424  0.4202  0.4710 -0.0003  0.9951 1 
 52.1828 -0.7029  1.3232  0.0780  0.5319  0.0458  0.5067  0.3425 -0.0003  0.8875 1 
 59.9252 -0.3281 -1.1895  0.0191  0.2794  0.0648  0.2856  0.1414 -0.0003  0.3042 0 
 41.0437  0.2996  1.9401  0.0991  0.2662  0.0151  0.2248  0.2667  0.0626  0.6137 0 
 46.7018  0.2468 -1.5017  0.0147  0.3849  0.1011  0.6517  0.1286 -0.0003  0.3315 0 
 45.2522 -0.2572  1.6770  0.0090  0.1323  0.0284  0.2629  0.0174 -0.0003  0.0502 0 
 50.5501 -0.4600  2.9275  0.1226  0.5035  0.1317  0.5960  0.1866 -0.0003  0.8704 1 
 30.7073  0.4685 -0.2142  0.4410  0.3338  0.0360  0.1951  0.2672  0.3367  0.9967 1 
 59.8733  0.0069 -2.5831  0.0533  0.6075  0.0591  0.3265  0.0222 -0.0003  0.4106 0 
 53.8735  0.0106  0.5689  0.0264  0.0653  0.0361  0.2094  0.0058 -0.0003  0.0651 0 
 45.3529 -0.1875 -0.3153  0.1772  0.5635  0.0193  0.1751  0.1371 -0.0003  0.6292 0 
 39.0051  0.1823  2.8396  0.0591  0.4564  0.0148  0.4558  0.1171 -0.0003  0.3929 0 
 62.8244 -0.4481  1.5108  0.2491  0.1132  0.0344  0.3227  0.0958 -0.0003  0.6095 0 
 44.4800  0.4443 -1.6438  0.0145  0.4296  0.0240  0.2640  0.0047 -0.0003  0.1351 0 
 45.7710 -0.2209 -3.0411  0.2062  0.3428  0.0483  0.4804  0.1528  0.2427  0.9677 1 
 44.7761  0.2158  0.0876  0.0333  0.7154  0.0474  0.3075  0.0703 -0.0003  0.3926 1 
 51.6335 -0.2831  2.2048  0.0038  0.2090  0.0734  0.1270  0.0112 -0.0003  0.1839 0 
 45.1179  0.3122 -0.9642  0.0425  0.2203  0.0301  0.3507  0.0602  0.0791  0.3173 0 
 29.3065 -0.7828  1.7557  0.0217  0.6044  0.0412  0.2472  0.0161 -0.0003  0.2714 1 
 28.2750  0.7689 -1.4373  0.0586  0.6172  0.0292  0.3998  0.0904  0.3596  0.9814 1 
 46.4271  0.5638 -1.0551  0.0002  0.2767  0.0819  0.3481  0.0298 -0.0003  0.1309 0 
 45.7374 -0.5582  2.0598  0.0126  0.5998  0.0459  0.6116  0.1556 -0.0003  0.3683 0 
 47.8889  0.2168  0.1263  0.4345  0.4941  0.0576  0.4316  0.3936 -0.0003  0.9952 1 
 37.0092 -0.1985 -3.0023  0.6420  0.4234  0.1418  0.5087  0.5061  0.7823  0.9999 1 
 48.0507  0.3542  1.4799  0.0949  0.1420  0.0281  0.2588  0.0828 -0.0003  0.2039 0 
 39.5483 -0.3475 -1.6095  0.0400  0.5597  0.0900  0.4995  0.0617 -0.0003  0.3229 0 
 51.3436  0.4878 -1.1415  0.0059  0.6702  0.2029  0.5936  0.0915 -0.0003  0.2969 0 
 42.0905 -0.4381  2.0359  0.0124  0.4215  0.0401  0.4019  0.0169 -0.0003  0.1740 0 
 48.9296 -0.2390 -0.0285  0.0011  0.3967  0.0857  0.5151  0.0425 -0.0003  0.1686 0 
 44.2664  0.2784  3.1317  0.0079  0.5065  0.0401  0.2644  0.0428 -0.0003  0.1716 0 
 48.6336 -0.4289 -0.2705  0.0121  0.3521  0.1914  0.3870  0.0645 -0.0003  0.2440 0 
 37.4334  0.4447  2.8809  0.0595  0.2221  0.0248  0.3227  0.1435 -0.0003  0.2715 0 
 46.4088  0.2880  2.4048  0.0159  0.6990  0.0190  0.3046  0.0287 -0.0003  0.1370 0 
 45.2369 -0.2987 -0.7073  0.0117  0.3751  0.0239  0.3067  0.0132 -0.0003  0.1034 0 
 45.6764  0.7409  0.2475  0.0253  0.1971  0.0120  0.1748  0.0330 -0.0003  0.0573 0 
 38.4863 -0.7492 -2.8606  0.0051  0.6690  0.0158  0.2745  0.0748  0.0886  0.1951 0 
 46.8605 -0.6889  1.4304  0.0183  0.0850  0.0506  0.2170  0.0292 -0.0003  0.0711 0 
 42.2339  0.6975 -1.7057  0.0213  0.6736  0.0233  0.2677  0.1379 -0.0003  0.2264 0 
 52.9305  0.3916 -1.0420  0.0198  0.0927  0.0772  0.2525  0.0287 -0.0003  0.0836 0 
 42.1729 -0.3858  2.1537  0.0375  0.2140  0.0378  0.1339  0.0151 -0.0003  0.1717 0 
 49.4697 -0.4546  2.1230  0.1192  0.2512  0.0967  0.4281  0.0682 -0.0003  0.5095 0 
 42.2705  0.3866 -1.0055  0.0530  0.0674  0.2518  0.2676  0.0097 -0.0003  0.0796 0 
 47.9652  0.5386 -1.4882  0.0294  0.6330  0.0667  0.5178  0.0451 -0.0003  0.2903 0 
 33.6736 -0.5213  1.6325  0.0034  0.3961  0.0153  0.2374  0.0392 -0.0003  0.0747 0 
 44.0253  0.0957  1.2140  0.1762  0.3632  0.0904  0.5295  0.1779 -0.0003  0.9004 1 
 39.3194 -0.1105 -1.9092  0.2066  0.1654  0.0779  0.3184  0.3358  0.3051  0.9763 1 
 43.2258  0.4585 -2.3621  0.0277  0.0957  0.0785  0.3547  0.0467 -0.0003  0.0927 0 
 46.8299  0.3871  0.8528  0.0327  0.2105  0.0302  0.4776  0.0314 -0.0003  0.1642 0 
 45.6397 -0.3943 -2.2817  0.0035  0.3457  0.0314  0.3497  0.0106 -0.0003  0.1055 0 
 48.8960 -0.4613 -0.6139  0.0649  0.0872  0.0254  0.1288  0.1074 -0.0003  0.1183 0 
 39.1577  0.4668  2.4818  0.0027  0.1570  0.0147  0.2732  0.2117  0.0240  0.1612 0 
 43.7354 -0.7642  1.7872  0.4320  0.4873  0.0505  0.3536  0.4578 -0.0003  0.9969 1 
 35.1019  0.7674 -1.3543  0.2365  0.3757  0.0617  0.2816  0.2825 -0.0003  0.9652 1 
 40.6439  0.0275 -3.1126  0.2631  0.0994  0.0594  0.1352  0.1642  0.4384  0.9953 1 
 36.9879  0.0030  0.1136  0.0472  0.6663  0.0809  0.6013  0.0445  0.5810  0.9906 1 
 41.9806  0.6540 -1.6812  0.0150  0.2012  0.0584  0.2681  0.0037 -0.0003  0.1277 1 
 33.6217 -0.6719  1.4938  0.1025  0.6093  0.0426  0.3326  0.0369  0.3714  0.9890 1 
 46.2623  0.7081  3.0033  0.0038  0.5634  0.0939  0.3920  0.0246 -0.0003  0.1900 0 
 37.7142 -0.7339 -0.1217  0.0055  0.2807  0.0363  0.3680  0.1125 -0.0003  0.1253 0 
 48.3497 -0.2123 -0.5272  0.0235  0.2599  0.2075  0.3445  0.0082 -0.0003  0.2006 0 
 46.4851  0.2005  2.6037  0.0164  0.0730  0.0299  0.1740  0.0075 -0.0003  0.0588 0 
 50.5318  0.4552 -2.8300  0.0205  0.2635  0.0637  0.4683  0.0545 -0.0003  0.1985 0 
 47.9072 -0.4040  0.2619  0.0092  0.1782  0.4718  0.4316  0.1385 -0.0003  0.3794 0 
 47.0100 -0.6213  2.3048  0.0921  0.3205  0.0315  0.3470  0.1070 -0.0003  0.4741 0 
 43.0274  0.6243 -0.8201  0.0286  0.3783  0.0099  0.2220  0.0129 -0.0003  0.0972 0 
 42.3804 -0.7439  0.0672  0.2286  0.7777  0.0309  0.4903  0.2679 -0.0003  0.9530 1 
 41.9043  0.7466 -3.1175  0.0688  0.5071  0.0251  0.4024  0.2114 -0.0003  0.6390 1 
 44.5380 -0.5229 -2.6166  0.0521  0.3690  0.0253  0.3959  0.1091 -0.0003  0.3235 0 
 44.2725  0.5014  0.4765  0.0000  0.2713  0.1193  0.4846  0.1157 -0.0003  0.1885 0 
